site,ogrn_x,tag
https://marketing-tech.ru/companies/deltaclick/,1026605417046,communication
https://marketing-tech.ru/companies/deltaclick/,1026605417046,full-cycle
https://marketing-tech.ru/companies/it-agency/,1027739644613,full-cycle
https://marketing-tech.ru/companies/it-agency/,1027739644613,communication
https://marketing-tech.ru/companies/ddvb/,1037739545139,full-cycle
https://marketing-tech.ru/companies/ddvb/,1037739545139,btl
https://marketing-tech.ru/companies/i-media/,1037789001821,full-cycle
https://marketing-tech.ru/companies/it-agency/,1047796850419,communication
https://marketing-tech.ru/companies/it-agency/,1047796850419,full-cycle
https://marketing-tech.ru/companies/ony-agency/,1057747678890,communication
https://marketing-tech.ru/companies/%d1%80%d0%b8%d0%b0%d0%bb%d0%b2%d0%b5%d0%b1/,1057811290767,full-cycle
https://marketing-tech.ru/companies/spn-communications/,1077847402874,communication
https://marketing-tech.ru/companies/nectarin/,1087746039886,event
https://marketing-tech.ru/companies/adv-group/,1097746834316,communication
https://marketing-tech.ru/companies/jami/,1107746110482,communication
https://marketing-tech.ru/companies/soft-media-group/,1107746942478,full-cycle
https://marketing-tech.ru/companies/russ-market/,1127746019720,merchendayzing
https://marketing-tech.ru/companies/russ-market/,1127746019720,full-cycle
https://marketing-tech.ru/companies/4px/,1157746217265,full-cycle
https://marketing-tech.ru/companies/be-all-bright-group/,1167746728687,event
https://marketing-tech.ru/companies/be-all-bright-group/,1167746728687,btl
https://marketing-tech.ru/companies/hunter-mob/,1217400020342,full-cycle
https://marketing-tech.ru/companies/moscow-event/,1237700633840,event
https://marketing-tech.ru/companies/rush-agency/,5147746239702,full-cycle
